"","V1","V2","V3"
"1",1.05962302380533,1.47549117669242,1.86199703246837
"2",2.61040688961006,3.16246642610396,3.64650370296571
"3",4.16119075542618,4.84944167552375,5.4310103734629
"4",5.71197462125739,6.53641692496105,7.21551704395966
"5",7.26275848709004,8.22339217440718,9.00002371445643
"6",8.81354235291714,9.91036742385141,10.7845303849531
"7",10.3643262187228,11.5973426732792,12.5690370554494
"8",11.9151100844829,13.284317922666,14.3535437259449
"9",13.4658939501507,14.9712931719596,16.1380503964402
"10",15.0166778156411,16.6582684210465,17.9225570669357
"11",16.5674616807864,18.3452358829153,19.6756797882405
"12",18.1182455442242,19.9189972216125,21.3221277333803
"13",19.6436483018169,21.420353857212,22.9685756785183
"14",21.0586708014419,22.921710490374,24.6150236236562
"15",22.4736932992606,24.4230671219917,26.2614715687945
"16",23.8887157963795,25.9244237524379,27.9079195139299
"17",25.3037382927879,27.425780381594,29.5543674590621
"18",26.7187607869674,28.9126753350004,31.2008154041918
"19",28.1311197216662,30.3624002359263,32.7835139390267
"20",29.5093279050083,31.8121251230462,34.3105843811491
"21",30.8875360856457,33.2618500055534,35.8376548232599
"22",32.2657442655781,34.7115748842966,37.364725265373
"23",33.6439524453048,36.1612997621997,38.8917957074941
"24",35.0221606249208,37.6110246398139,40.4188661496225
"25",36.4003688044914,39.0607495173057,41.9459365917397
"26",37.7785769840681,40.5104743947405,43.4730070338583
"27",39.1567851636828,41.9601992721574,45.0000774759782
"28",40.5349933433442,43.4099241495606,46.527147918097
"29",41.9132015230704,44.8596490269233,48.0542183602132
"30",43.2914097028442,46.3093739041862,49.581288802306
"31",44.6696178826447,47.7590987813354,51.1067720912948
"32",46.047826062461,49.2088236583921,52.6316234981214
"33",47.4260342422855,50.6585485352329,54.1516950142966
"34",48.8042424220913,52.1082734118294,55.6675681595977
"35",50.1824506018635,53.5579982881509,57.1834413048944
"36",51.5606587815541,55.0077231639359,58.6993144502027
"37",52.9388669610259,56.4301518252105,60.2130286463074
"38",54.3170751400808,57.7982740961165,61.5445545025834
"39",55.644092976102,59.1663963646415,62.8760803588203
"40",56.84385222267,60.5345186318008,64.0976394256554
"41",58.0436114610167,61.9026408970471,65.2915197364846
"42",59.028579088102,63.0937500044749,66.446854417773
"43",59.9799866316983,64.2225790130973,67.5974180804495
"44",60.9313941744973,65.3514080074535,68.7479817431273
"45",61.8828017169763,66.480237000261,69.898545405749
"46",62.8342092593585,67.6090659927227,71.0491090683458
"47",63.7856168016897,68.7378949849029,72.1996727309414
"48",64.7370243439857,69.866723976812,73.3502363935402
"49",65.6884318862451,70.9955529683327,74.5008000561394
"50",66.6398394284579,72.1243819586662,75.6513637187312
"51",67.5912469706045,73.1768063999891,76.8019273813151
"52",68.5426545126292,74.2046312741031,77.8389716852534
"53",69.4940620545014,75.2324561469607,78.6944895231649
"54",70.4454695962082,76.2602810192557,79.5500073610751
"55",71.3968771376689,77.2881058898606,80.3064163909511
"56",72.3482846789618,78.3159307576869,80.9436855859279
"57",73.2996922201488,78.9302507684905,81.5809547809024
"58",74.2510997612006,79.5027287322642,82.2182239758714
"59",75.202507302161,80.0752066956875,82.8554931708394
"60",76.1539148430318,80.6476846588434,83.4927623658066
"61",77.1053223837749,81.2201626216521,84.082412312849
"62",78.05672992434,81.7926405841082,84.6144109790544
"63",79.0081374647288,82.365118546371,85.1464096452586
"64",79.9595450047496,82.9375965083697,85.6784083114619
"65",80.9109525440622,83.5100744699845,86.210406977664
"66",81.8501923621361,84.0825524308643,86.7424056438641
"67",82.4034479530191,84.604592878404,87.2463005198299
"68",82.8735399761365,85.115209246661,87.7438298976115
"69",83.3436319990487,85.6258256147529,88.2413592753924
"70",83.8137240217827,86.1364419827273,88.7388886531729
"71",84.2838160444159,86.6470583506525,89.2364180309532
"72",84.7539080669798,87.1576747185432,89.7339474087335
"73",85.2240000894609,87.6682910863789,90.231476786513
"74",85.6940921119166,88.1789074541943,90.7290061642917
"75",86.1641841343597,88.6895238219952,91.2265355420705
"76",86.6342761568012,89.2001401897938,91.7240649198493
"77",87.1043681792284,89.7107565575719,92.221594297628
"78",87.57446020165,90.2213729253418,92.7191236754066
"79",88.0445522240673,90.7319892931055,93.2166530531853
"80",88.5146442464846,91.2426056608691,93.7141824309639
"81",88.9847362689018,91.7532220286328,94.2117118087425
"82",89.4548282913191,92.2638383963964,94.7092411865211
"83",89.9249203137364,92.7744547641601,95.2067705642998
"84",90.3950123361537,93.2850711319237,95.7042999420784
"85",90.865104358571,93.7956874996874,96.201829319857
"86",91.3351963809846,94.3063038674465,96.6993586976356
"87",91.8052884033979,94.8169202352051,97.1968880754143
"88",92.2753804258111,95.3275366029637,97.6944174531929
"89",92.7454724482233,95.8381529707213,98.1919468309715
"90",93.2155644706337,96.3487693384772,98.6894762087501
"91",93.6856564930442,96.8593857062331,99.1870055865287
"92",94.1557485154537,97.3700020739881,99.6845349643073
"93",94.6258405378624,97.8806184417425,100.182064342086
"94",95.0959325602712,98.3912348094969,100.679593719865
"95",95.5660245826799,98.9018511772513,101.177123097643
"96",96.0361166050886,99.4124675450057,101.674652475422
"97",96.5062086274973,99.9230839127601,102.1721818532
"98",96.9763006499061,100.433700280514,102.669711230979
"99",97.4463926723148,100.944316648269,103.167240608758
